醫事機構代碼,機構服務項目代碼
0144010015,Y
0144010015,Z
0145010019,1
0145010019,2
0145010019,4
0145010019,9
0145010019,A
0145010019,A0
0145010019,B
0145010019,C
0145010019,D
0145010019,E
0145010019,F
0145010019,G
0145010019,O
0145010019,P
0145010019,Y
0145010019,Z
0145030020,0
0145030020,1
0145030020,2
0145030020,9
0145030020,A
0145030020,B
0145030020,D
0145030020,E
0145030020,F
0145030020,K
0145030020,P
0145030020,U
0145030020,Y
0145030020,Z
0145080011,1
0145080011,9
0145080011,A
0145080011,A0
0145080011,B
0145080011,D
0145080011,E
0145080011,F
0145080011,G
0145080011,Y
0146010013,0
0146010013,1
0146010013,2
0146010013,4
0146010013,7
0146010013,9
0146010013,A
0146010013,A0
0146010013,B
0146010013,C
0146010013,D
0146010013,E
0146010013,F
0146010013,G
0146010013,I
0146010013,K
0146010013,O
0146010013,P
0146010013,Q
0146010013,U
0146010013,Y
0146010013,Z
0146020519,Y
0146020537,1
0146020537,2
0146020537,9
0146020537,A
0146020537,B
0146020537,C
0146020537,D
0146020537,E
0146020537,F
0146020537,G
0146020537,O
0146020537,P
0146020537,Y
0190030516,1
0190030516,2
0190030516,4
0190030516,5
0190030516,7
0190030516,9
0190030516,A
0190030516,B
0190030516,C
0190030516,D
0190030516,E
0190030516,F
0190030516,G
0190030516,I
0190030516,K
0190030516,O
0190030516,P
0190030516,U
0190030516,W
0190030516,Y
0190030516,Z
0211070012,1
0211070012,2
0211070012,A
0211070012,A0
0211070012,B
0211070012,D
0211070012,E
0211070012,F
0211070012,G
0211070012,I
0211070012,P
0211070012,Q
0211070012,Y
0211070012,Z
0291010010,0
0291010010,1
0291010010,9
0291010010,A
0291010010,A0
0291010010,B
0291010010,C
0291010010,D
0291010010,E
0291010010,F
0291010010,G
0291010010,I
0291010010,K
0291010010,O
0291010010,Q
0291010010,Y
0291010010,Z
0401020013,1
0401020013,2
0401020013,7
0401020013,9
0401020013,A
0401020013,A0
0401020013,B
0401020013,C
0401020013,E
0401020013,F
0401020013,O
0401020013,Q
0401020013,W
0401020013,Y
0401020013,Z
0401180014,1
0401180014,2
0401180014,4
0401180014,5
0401180014,7
0401180014,9
0401180014,A
0401180014,B
0401180014,C
0401180014,D
0401180014,E
0401180014,F
0401180014,G
0401180014,H
0401180014,I
0401180014,K
0401180014,N
0401180014,O
0401180014,P
0401180014,U
0401180014,W
0401180014,X
0401180014,Y
0401180014,Z
0401180023,1
0401180023,2
0401180023,7
0401180023,A
0401180023,B
0401180023,C
0401180023,D
0401180023,P
0401190010,1
0401190010,2
0401190010,7
0401190010,A
0401190010,A0
0401190010,B
0401190010,C
0401190010,D
0401190010,E
0401190010,F
0401190010,G
0401190010,I
0401190010,P
0401190010,W
0401190010,Y
0401190010,Z
0412040012,1
0412040012,2
0412040012,4
0412040012,6
0412040012,7
0412040012,9
0412040012,A
0412040012,B
0412040012,C
0412040012,D
0412040012,E
0412040012,F
0412040012,G
0412040012,I
0412040012,K
0412040012,O
0412040012,P
0412040012,Q
0412040012,U
0412040012,W
0412040012,Y
0412040012,Z
0421040011,0
0421040011,1
0421040011,2
0421040011,4
0421040011,5
0421040011,7
0421040011,9
0421040011,A
0421040011,A0
0421040011,B
0421040011,C
0421040011,D
0421040011,E
0421040011,F
0421040011,G
0421040011,I
0421040011,K
0421040011,N
0421040011,O
0421040011,P
0421040011,Q
0421040011,U
0421040011,W
0421040011,Y
0421040011,Z
0431270012,1
0431270012,2
0431270012,5
0431270012,7
0431270012,9
0431270012,A
0431270012,A0
0431270012,B
0431270012,C
0431270012,D
0431270012,E
0431270012,F
0431270012,G
0431270012,P
0431270012,W
0431270012,Y
0431270012,Z
0433050018,0
0433050018,1
0433050018,2
0433050018,7
0433050018,9
0433050018,A
0433050018,B
0433050018,C
0433050018,D
0433050018,E
0433050018,F
0433050018,G
0433050018,I
0433050018,K
0433050018,O
0433050018,P
0433050018,Y
0433050018,Z
0434010518,1
0434010518,2
0434010518,4
0434010518,5
0434010518,7
0434010518,9
0434010518,A
0434010518,A0
0434010518,B
0434010518,C
0434010518,D
0434010518,E
0434010518,F
0434010518,G
0434010518,I
0434010518,K
0434010518,O
0434010518,P
0434010518,U
0434010518,W
0434010518,X
0434010518,Y
0434010518,Z
0439010518,1
0439010518,2
0439010518,4
0439010518,5
0439010518,7
0439010518,9
0439010518,A
0439010518,A0
0439010518,B
0439010518,C
0439010518,D
0439010518,E
0439010518,F
0439010518,G
0439010518,I
0439010518,K
0439010518,O
0439010518,P
0439010518,Q
0439010518,U
0439010518,W
0439010518,Y
0439010518,Z
0439010527,0
0439010527,1
0439010527,2
0439010527,5
0439010527,9
0439010527,A
0439010527,A0
0439010527,B
0439010527,C
0439010527,D
0439010527,E
0439010527,F
0439010527,G
0439010527,K
0439010527,P
0439010527,Q
0439010527,U
0439010527,Y
0439010527,Z
0501010019,1
0501010019,2
0501010019,7
0501010019,9
0501010019,A
0501010019,B
0501010019,C
0501010019,D
0501010019,E
0501010019,F
0501010019,G
0501010019,I
0501010019,K
0501010019,O
0501010019,P
0501010019,Y
0501010019,Z
0501110514,1
0501110514,2
0501110514,4
0501110514,5
0501110514,7
0501110514,9
0501110514,A
0501110514,B
0501110514,C
0501110514,D
0501110514,E
0501110514,F
0501110514,G
0501110514,I
0501110514,K
0501110514,O
0501110514,P
0501110514,U
0501110514,X
0501110514,Y
0501110514,Z
0501160014,9
0501160014,A
0501160014,B
0501160014,D
0501160014,E
0501160014,F
0501160014,K
0501160014,P
0501160014,U
0501160014,Y
0502030015,1
0502030015,2
0502030015,9
0502030015,A
0502030015,A0
0502030015,B
0502030015,C
0502030015,D
0502030015,E
0502030015,F
0502030015,G
0502030015,I
0502030015,K
0502030015,N
0502030015,O
0502030015,P
0502030015,Q
0502030015,U
0502030015,W
0502030015,Y
0502030015,Z
0502080015,1
0502080015,2
0502080015,7
0502080015,9
0502080015,A
0502080015,B
0502080015,C
0502080015,D
0502080015,E
0502080015,F
0502080015,G
0502080015,I
0502080015,K
0502080015,N
0502080015,O
0502080015,P
0502080015,Q
0502080015,U
0502080015,W
0502080015,Y
0502080015,Z
0511040010,1
0511040010,2
0511040010,9
0511040010,A
0511040010,B
0511040010,C
0511040010,D
0511040010,E
0511040010,F
0511040010,G
0511040010,I
0511040010,P
0511040010,Q
0511040010,Y
0511040010,Z
0512040014,1
0512040014,2
0512040014,7
0512040014,9
0512040014,A
0512040014,A0
0512040014,B
0512040014,C
0512040014,D
0512040014,E
0512040014,F
0512040014,G
0512040014,I
0512040014,K
0512040014,P
0512040014,Y
0512040014,Z
0517050010,1
0517050010,2
0517050010,7
0517050010,9
0517050010,A
0517050010,B
0517050010,C
0517050010,D
0517050010,E
0517050010,F
0517050010,G
0517050010,I
0517050010,O
0517050010,P
0517050010,W
0517050010,Y
0517050010,Z
0532090029,1
0532090029,2
0532090029,3
0532090029,9
0532090029,A
0532090029,A0
0532090029,B
0532090029,C
0532090029,D
0532090029,E
0532090029,F
0532090029,G
0532090029,I
0532090029,K
0532090029,O
0532090029,P
0532090029,U
0532090029,W
0532090029,Y
0532090029,Z
0536190011,1
0536190011,2
0536190011,7
0536190011,9
0536190011,A
0536190011,A0
0536190011,B
0536190011,C
0536190011,D
0536190011,E
0536190011,F
0536190011,G
0536190011,I
0536190011,K
0536190011,O
0536190011,P
0536190011,Q
0536190011,W
0536190011,Y
0536190011,Z
0542020011,1
0542020011,2
0542020011,7
0542020011,9
0542020011,A
0542020011,B
0542020011,C
0542020011,D
0542020011,E
0542020011,F
0542020011,G
0542020011,I
0542020011,O
0542020011,P
0542020011,Y
0542020011,Z
0543010019,1
0543010019,9
0543010019,A
0543010019,A0
0543010019,B
0543010019,C
0543010019,D
0543010019,E
0543010019,F
0543010019,G
0543010019,I
0543010019,K
0543010019,O
0543010019,P
0543010019,Y
0543010019,Z
0544010031,0
0544010031,1
0544010031,5
0544010031,9
0544010031,A
0544010031,A0
0544010031,B
0544010031,C
0544010031,D
0544010031,E
0544010031,F
0544010031,G
0544010031,I
0544010031,K
0544010031,O
0544010031,Q
0544010031,W
0544010031,Y
0544010031,Z
0545040515,1
0545040515,2
0545040515,7
0545040515,9
0545040515,A
0545040515,A0
0545040515,B
0545040515,C
0545040515,D
0545040515,E
0545040515,F
0545040515,G
0545040515,I
0545040515,K
0545040515,O
0545040515,Q
0545040515,U
0545040515,W
0545040515,Y
0545040515,Z
0601160016,1
0601160016,2
0601160016,4
0601160016,5
0601160016,7
0601160016,9
0601160016,A
0601160016,A0
0601160016,B
0601160016,C
0601160016,D
0601160016,E
0601160016,F
0601160016,G
0601160016,I
0601160016,K
0601160016,O
0601160016,P
0601160016,U
0601160016,X
0601160016,Y
0601160016,Z
0602030026,1
0602030026,2
0602030026,4
0602030026,7
0602030026,9
0602030026,A
0602030026,B
0602030026,C
0602030026,D
0602030026,E
0602030026,F
0602030026,G
0602030026,I
0602030026,K
0602030026,N
0602030026,O
0602030026,P
0602030026,Q
0602030026,U
0602030026,W
0602030026,Y
0602030026,Z
0617060018,1
0617060018,2
0617060018,4
0617060018,6
0617060018,7
0617060018,9
0617060018,A
0617060018,A0
0617060018,B
0617060018,C
0617060018,D
0617060018,E
0617060018,F
0617060018,G
0617060018,I
0617060018,K
0617060018,N
0617060018,O
0617060018,P
0617060018,Q
0617060018,U
0617060018,W
0617060018,Y
0617060018,Z
0622020017,1
0622020017,2
0622020017,4
0622020017,5
0622020017,7
0622020017,9
0622020017,A
0622020017,A0
0622020017,B
0622020017,C
0622020017,D
0622020017,E
0622020017,F
0622020017,G
0622020017,I
0622020017,K
0622020017,O
0622020017,P
0622020017,Q
0622020017,U
0622020017,W
0622020017,Y
0622020017,Z
0632010014,1
0632010014,2
0632010014,4
0632010014,5
0632010014,7
0632010014,9
0632010014,A
0632010014,A0
0632010014,B
0632010014,C
0632010014,D
0632010014,E
0632010014,F
0632010014,G
0632010014,I
0632010014,K
0632010014,O
0632010014,P
0632010014,U
0632010014,W
0632010014,Y
0632010014,Z
0633030010,1
0633030010,2
0633030010,4
0633030010,5
0633030010,7
0633030010,9
0633030010,A
0633030010,A0
0633030010,B
0633030010,C
0633030010,D
0633030010,E
0633030010,F
0633030010,G
0633030010,I
0633030010,K
0633030010,O
0633030010,P
0633030010,Q
0633030010,W
0633030010,Y
0633030010,Z
0634030014,1
0634030014,2
0634030014,4
0634030014,5
0634030014,7
0634030014,9
0634030014,A
0634030014,B
0634030014,C
0634030014,D
0634030014,E
0634030014,F
0634030014,G
0634030014,K
0634030014,U
0634030014,X
0634030014,Y
0634030014,Z
0634070018,1
0634070018,2
0634070018,4
0634070018,5
0634070018,7
0634070018,9
0634070018,A
0634070018,B
0634070018,D
0634070018,E
0634070018,F
0634070018,G
0634070018,I
0634070018,K
0634070018,O
0634070018,X
0634070018,Y
0634070018,Z
0638020014,1
0638020014,2
0638020014,4
0638020014,5
0638020014,7
0638020014,9
0638020014,A
0638020014,A0
0638020014,B
0638020014,C
0638020014,D
0638020014,E
0638020014,F
0638020014,G
0638020014,H
0638020014,I
0638020014,K
0638020014,O
0638020014,P
0638020014,Q
0638020014,U
0638020014,W
0638020014,Y
0638020014,Z
0640140012,0
0640140012,1
0640140012,2
0640140012,5
0640140012,9
0640140012,A
0640140012,A0
0640140012,B
0640140012,E
0640140012,F
0640140012,G
0640140012,I
0640140012,K
0640140012,P
0640140012,Y
0640140012,Z
0641310018,1
0641310018,2
0641310018,4
0641310018,7
0641310018,9
0641310018,A
0641310018,A0
0641310018,B
0641310018,C
0641310018,D
0641310018,E
0641310018,F
0641310018,G
0641310018,I
0641310018,K
0641310018,O
0641310018,P
0641310018,Q
0641310018,Y
0641310018,Z
0643010011,1
0643010011,2
0643010011,4
0643010011,7
0643010011,9
0643010011,A
0643010011,A0
0643010011,B
0643010011,C
0643010011,D
0643010011,E
0643010011,F
0643010011,G
0643010011,I
0643010011,O
0643010011,P
0643010011,Q
0643010011,W
0643010011,Y
0643010011,Z
0643130018,1
0643130018,2
0643130018,7
0643130018,9
0643130018,A
0643130018,A0
0643130018,B
0643130018,C
0643130018,D
0643130018,E
0643130018,F
0643130018,G
0643130018,K
0643130018,P
0643130018,Y
0643130018,Z
0645020015,1
0645020015,2
0645020015,9
0645020015,A
0645020015,B
0645020015,C
0645020015,E
0645020015,F
0645020015,K
0645020015,P
0645020015,U
0645030011,1
0645030011,2
0645030011,3
0645030011,4
0645030011,7
0645030011,9
0645030011,A
0645030011,B
0645030011,C
0645030011,D
0645030011,E
0645030011,F
0645030011,G
0645030011,I
0645030011,K
0645030011,O
0645030011,P
0645030011,U
0645030011,Y
0645030011,Z
0646010013,1
0646010013,2
0646010013,3
0646010013,4
0646010013,5
0646010013,9
0646010013,A
0646010013,B
0646010013,C
0646010013,E
0646010013,F
0646010013,K
0646010013,O
0646010013,P
0646010013,U
0646010013,Y
0646010013,Z
0701160518,1
0701160518,2
0701160518,4
0701160518,7
0701160518,9
0701160518,A
0701160518,A0
0701160518,B
0701160518,C
0701160518,D
0701160518,E
0701160518,F
0701160518,G
0701160518,O
0701160518,P
0701160518,U
0701160518,X
0701160518,Y
0701160518,Z
0717070516,A
0717070516,B
0717070516,C
0717070516,E
0717070516,Z
0807350018,A
0807350018,Z
0901020013,1
0901020013,9
0901020013,A
0901020013,A0
0901020013,B
0901020013,C
0901020013,D
0901020013,E
0901020013,F
0901020013,G
0901020013,I
0901020013,O
0901020013,P
0901020013,Y
0901020013,Z
0901180023,1
0901180023,A
0901180023,B
0901180023,E
0901180023,Y
0901180023,Z
0901190010,1
0901190010,2
0901190010,9
0901190010,A
0901190010,B
0901190010,C
0901190010,D
0901190010,E
0901190010,F
0901190010,G
0901190010,I
0901190010,O
0901190010,P
0901190010,Q
0901190010,W
0901190010,X
0901190010,Y
0901190010,Z
0902080013,1
0902080013,2
0902080013,7
0902080013,9
0902080013,A
0902080013,B
0902080013,C
0902080013,D
0902080013,E
0902080013,F
0902080013,G
0902080013,I
0902080013,N
0902080013,O
0902080013,Q
0902080013,W
0902080013,Y
0902080013,Z
0903150014,1
0903150014,2
0903150014,7
0903150014,9
0903150014,A
0903150014,A0
0903150014,B
0903150014,C
0903150014,D
0903150014,E
0903150014,F
0903150014,G
0903150014,I
0903150014,O
0903150014,Q
0903150014,Y
0903150014,Z
0905290020,A
0905290020,B
0905290020,C
0905290020,D
0905290020,E
0905290020,F
0905290020,G
0905290020,Y
0905290020,Z
0905320014,1
0905320014,2
0905320014,A
0905320014,B
0905320014,E
0905320014,Z
0905320023,1
0905320023,2
0905320023,5
0905320023,7
0905320023,9
0905320023,A
0905320023,A0
0905320023,B
0905320023,C
0905320023,D
0905320023,E
0905320023,F
0905320023,G
0905320023,I
0905320023,K
0905320023,O
0905320023,P
0905320023,Q
0905320023,U
0905320023,W
0905320023,Y
0905320023,Z
0907120012,1
0907120012,2
0907120012,A
0907120012,B
0907120012,E
0907120012,K
0907150029,1
0907150029,2
0907150029,7
0907150029,9
0907150029,A
0907150029,A0
0907150029,B
0907150029,C
0907150029,D
0907150029,E
0907150029,F
0907150029,G
0907150029,I
0907150029,O
0907150029,Q
0907150029,Y
0907150029,Z
0907320012,1
0907320012,9
0907320012,A
0907320012,A0
0907320012,B
0907320012,E
0907320012,F
0907320012,Y
0907320012,Z
0911010010,A
0911010010,B
0911010010,K
0911010010,U
0912040012,A
0912040012,B
0912040012,E
0917050027,A
0917050027,B
0917050027,K
0917050027,U
0917050027,Z
0917070029,1
0917070029,2
0917070029,7
0917070029,9
0917070029,A
0917070029,A0
0917070029,B
0917070029,C
0917070029,D
0917070029,E
0917070029,F
0917070029,G
0917070029,I
0917070029,O
0917070029,P
0917070029,Q
0917070029,W
0917070029,Y
0917070029,Z
0922020013,0
0922020013,1
0922020013,2
0922020013,A
0922020013,B
0922020013,C
0922020013,E
0922020013,W
0922020022,1
0922020022,2
0922020022,7
0922020022,A
0922020022,A0
0922020022,B
0922020022,C
0922020022,D
0922020022,E
0922020022,F
0922020022,O
0922020022,Q
0922020022,Y
0922020022,Z
0922020031,1
0922020031,2
0922020031,A
0922020031,B
0922020031,C
0922020031,E
0922020031,Z
0922020040,9
0922020040,A
0922020040,B
0922020040,E
0922020040,Y
0922020040,Z
0922020059,9
0922020059,A
0922020059,B
0922020059,E
0922020059,Z
0931010016,1
0931010016,2
0931010016,9
0931010016,A
0931010016,B
0931010016,C
0931010016,D
0931010016,E
0931010016,G
0931010016,O
0931010016,Y
0931010016,Z
0931010025,1
0931010025,2
0931010025,7
0931010025,A
0931010025,B
0931010025,E
0931010025,F
0931050010,A
0931050010,B
0931060016,1
0931060016,2
0931060016,7
0931060016,9
0931060016,A
0931060016,B
0931060016,C
0931060016,E
0931060016,Y
0931060016,Z
0931090014,A
0931090014,B
0931090014,E
0931100015,A
0931100015,B
0932020016,A
0932020016,B
0932020016,D
0932020016,E
0932020016,F
0932020016,G
0932020016,I
0932020016,Q
0932020016,Y
0932020016,Z
0932020025,1
0932020025,2
0932020025,7
0932020025,9
0932020025,A
0932020025,B
0932020025,C
0932020025,D
0932020025,E
0932020025,F
0932020025,G
0932020025,O
0932020025,P
0932020025,Q
0932020025,W
0932020025,Y
0932020025,Z
0932020034,1
0932020034,2
0932020034,7
0932020034,9
0932020034,A
0932020034,B
0932020034,C
0932020034,E
0932020034,F
0932020034,W
0932020034,Y
0932020034,Z
0933010014,A
0933010014,B
0933010014,K
0933050018,0
0933050018,1
0933050018,2
0933050018,3
0933050018,5
0933050018,6
0933050018,7
0933050018,9
0933050018,A
0933050018,A0
0933050018,B
0933050018,C
0933050018,D
0933050018,E
0933050018,F
0933050018,G
0933050018,H
0933050018,I
0933050018,K
0933050018,O
0933050018,P
0933050018,Q
0933050018,U
0933050018,W
0933050018,Y
0933050018,Z
0933050036,1
0933050036,2
0933050036,7
0933050036,9
0933050036,A
0933050036,B
0933050036,D
0933050036,E
0933050036,F
0933050036,Y
0933050036,Z
0934060027,A
0934060027,B
0934060027,K
0934060027,U
0935010012,0
0935010012,1
0935010012,9
0935010012,A
0935010012,B
0935010012,E
0935010012,Y
0935010012,Z
0935010021,A
0935010021,B
0935010021,E
0935010021,K
0935010021,U
0935010021,Y
0935010021,Z
0935020027,1
0935020027,2
0935020027,7
0935020027,9
0935020027,A
0935020027,A0
0935020027,B
0935020027,C
0935020027,D
0935020027,E
0935020027,F
0935020027,G
0935020027,I
0935020027,O
0935020027,Q
0935020027,W
0935020027,Y
0935020027,Z
0936030018,0
0936030018,1
0936030018,2
0936030018,7
0936030018,9
0936030018,A
0936030018,B
0936030018,C
0936030018,D
0936030018,E
0936030018,F
0936030018,G
0936030018,I
0936030018,O
0936030018,Q
0936030018,Y
0936030018,Z
0936050029,1
0936050029,2
0936050029,4
0936050029,5
0936050029,6
0936050029,7
0936050029,9
0936050029,A
0936050029,A0
0936050029,B
0936050029,C
0936050029,D
0936050029,E
0936050029,F
0936050029,G
0936050029,I
0936050029,K
0936050029,N
0936050029,O
0936050029,P
0936050029,Q
0936050029,U
0936050029,W
0936050029,Y
0936050029,Z
0936060016,1
0936060016,2
0936060016,4
0936060016,5
0936060016,7
0936060016,9
0936060016,A
0936060016,A0
0936060016,B
0936060016,C
0936060016,D
0936060016,E
0936060016,F
0936060016,G
0936060016,I
0936060016,K
0936060016,O
0936060016,P
0936060016,Q
0936060016,W
0936060016,Y
0936060016,Z
0937010019,1
0937010019,2
0937010019,6
0937010019,7
0937010019,9
0937010019,A
0937010019,A0
0937010019,B
0937010019,C
0937010019,D
0937010019,E
0937010019,F
0937010019,G
0937010019,H
0937010019,I
0937010019,K
0937010019,O
0937010019,P
0937010019,Q
0937010019,W
0937010019,Y
0937010019,Z
0937030012,1
0937030012,2
0937030012,7
0937030012,9
0937030012,A
0937030012,B
0937030012,C
0937030012,D
0937030012,E
0937030012,F
0937030012,G
0937030012,W
0937030012,Y
0937030012,Z
0937050014,0
0937050014,1
0937050014,2
0937050014,7
0937050014,9
0937050014,A
0937050014,B
0937050014,C
0937050014,D
0937050014,E
0937050014,F
0937050014,G
0937050014,I
0937050014,O
0937050014,Q
0937050014,W
0937050014,Y
